TIME, MOTION (YES/NO), PRESSURE, TEMPERATURE FROM HUMIDITY SENSOR,TEMPERATURE FROM PRESSURE SENSOR,HUMIDITY,LIGHT, MOVIMENT X-ASSIS, MOVIMENT Y-ASSIS, MOVIMENT Z-ASSIS, ACCELERATION X-ASSIS, ACCELERATION Y-ASSIS, ACCELERATION Z-ASSIS
2023-01-24 13:24:41.262036,NO, 1009.526611328125, 32.077850341796875, 32.31458282470703, 37.39383316040039, (0. 0. 0. 0), 357.68853976080214, 1.8991981317455142, 118.9482361693923, 0.039276234805583954, 0.031077450141310692, 0.9669890999794006
2023-01-24 13:24:55.968422,NO, 1009.520263671875, 32.13377380371094, 32.44791793823242, 40.20711898803711, (56. 53. 38. 140), 3.7720385634839495, 355.345434401406, 113.33588338877117, 0.038064006716012955, 0.03204862028360367, 0.9652832746505737
2023-01-24 13:25:10.731125,NO, 1009.490966796875, 32.189693450927734, 32.36249923706055, 36.924949645996094, (56. 53. 37. 140), 7.644238436051551, 350.0073137159609, 105.68591442400597, 0.035881996154785156, 0.03471934050321579, 0.968207597732544
2023-01-24 13:25:24.945720,NO, 1009.535888671875, 32.04056930541992, 32.39374923706055, 38.888771057128906, (56. 53. 37. 140), 11.916135002432775, 343.54530589315766, 99.90784759374198, 0.03951868414878845, 0.033019788563251495, 0.9665017127990723
2023-01-24 13:25:29.939318,NO, 1009.525390625, 32.13377380371094, 32.40833282470703, 38.79438400268555, (55. 52. 37. 139), 13.208382033963446, 342.2087147122143, 98.06162014033086, 0.03830645605921745, 0.03326258063316345, 0.9684512615203857
2023-01-24 13:25:34.955701,NO, 1009.55029296875, 32.24561309814453, 32.443748474121094, 38.78525161743164, (55. 52. 37. 139), 14.304077565522306, 340.16037342352604, 95.8688698695683, 0.04024602472782135, 0.03204862028360367, 0.9608966708183289
2023-01-24 13:25:39.952008,NO, 1009.562744140625, 32.208335876464844, 32.45624923706055, 39.248043060302734, (55. 52. 37. 140), 14.21320360616258, 339.40094688782716, 94.69230831333108, 0.04000357538461685, 0.03253420814871788, 0.9647958278656006
2023-01-24 13:25:44.941463,NO, 1009.546875, 32.15241241455078, 32.454166412353516, 38.52645492553711, (56. 53. 37. 140), 14.926540025342248, 338.55686186491323, 93.23172700083721, 0.037579119205474854, 0.03423375263810158, 0.9628462195396423
2023-01-24 13:25:49.972594,NO, 1009.5244140625, 32.189693450927734, 32.49791717529297, 39.77781677246094, (55. 52. 37. 139), 15.696201599512428, 337.61512391988833, 92.19277326580823, 0.039276234805583954, 0.03350537270307541, 0.9638210535049438
2023-01-24 13:25:55.012807,NO, 1009.548828125, 32.301536560058594, 32.545833587646484, 38.25547790527344, (56. 53. 37. 140), 16.003835027277095, 336.4062145877419, 90.55485975189332, 0.04145825281739235, 0.03399096056818962, 0.9730815291404724
2023-01-24 13:26:00.025605,NO, 1009.550537109375, 32.33881378173828, 32.56458282470703, 38.26765441894531, (56. 53. 37. 140), 16.504682553830374, 335.5518125640867, 89.90212589367188, 0.03830645605921745, 0.03204862028360367, 0.9645521640777588
2023-01-24 13:26:05.062616,NO, 1009.5751953125, 32.33881378173828, 32.631248474121094, 37.91142654418945, (56. 53. 37. 140), 17.107655068853685, 334.0250023223058, 89.06952583384734, 0.03830645605921745, 0.03326258063316345, 0.9708882570266724
2023-01-24 13:26:10.105415,NO, 1009.57568359375, 32.35745620727539, 32.641666412353516, 38.72435760498047, (56. 53. 37. 141), 17.57623507422053, 333.4471427053133, 87.98458443513665, 0.04000357538461685, 0.03253420814871788, 0.9657706022262573
2023-01-24 13:26:15.137399,NO, 1009.592041015625, 32.4320182800293, 32.625, 37.80790710449219, (56. 53. 37. 141), 18.217606912757656, 332.98265056816473, 87.69254603679443, 0.04000357538461685, 0.03447654843330383, 0.9623588919639587
2023-01-24 13:26:20.158249,NO, 1009.576171875, 32.46929931640625, 32.670833587646484, 37.69221115112305, (56. 52. 37. 139), 18.02478213475173, 332.42378912234864, 86.90572873497646, 0.03976112976670265, 0.03204862028360367, 0.9689386487007141
2023-01-24 13:26:25.195291,NO, 1009.562255859375, 32.46929931640625, 32.73958206176758, 37.908382415771484, (55. 52. 36. 138), 18.30948832501996, 332.07730899367954, 85.84304009258169, 0.04048847034573555, 0.03326258063316345, 0.9608966708183289
2023-01-24 13:26:30.233066,NO, 1009.57373046875, 32.487937927246094, 32.73749923706055, 37.923606872558594, (55. 51. 36. 137), 18.480070591993734, 331.59309297775525, 84.739377145356, 0.037094224244356155, 0.0313202403485775, 0.9718630313873291
2023-01-24 13:26:35.230377,NO, 1009.591552734375, 32.46929931640625, 32.74791717529297, 38.02712631225586, (55. 51. 36. 137), 18.675130549405544, 330.836355829042, 84.25349114817963, 0.03854890167713165, 0.03423375263810158, 0.9643084406852722
2023-01-24 13:26:40.216781,NO, 1009.56787109375, 32.5625, 32.77083206176758, 38.88572692871094, (55. 52. 37. 139), 19.10473066517913, 330.4826988791025, 84.01763105576076, 0.036609333008527756, 0.03447654843330383, 0.9672328233718872
2023-01-24 13:26:45.198192,NO, 1009.5458984375, 32.487937927246094, 32.797916412353516, 36.1424674987793, (55. 52. 36. 139), 19.697842094588232, 330.4326711585267, 84.05927471913033, 0.03854890167713165, 0.03204862028360367, 0.9635773301124573
2023-01-24 13:26:50.184436,NO, 1009.572021484375, 32.487937927246094, 32.82291793823242, 37.83531188964844, (55. 52. 37. 139), 19.918458912326937, 331.1173634718747, 84.46379267272434, 0.037094224244356155, 0.0313202403485775, 0.9616277813911438
