TIME, MOTION (YES/NO), PRESSURE, TEMPERATURE FROM HUMIDITY SENSOR,TEMPERATURE FROM PRESSURE SENSOR,CPU TEMPERATURE, HUMIDITY,LIGHT, MOVEMENT X-ASSIS, MOVEMENT Y-ASSIS, MOVEMENT Z-ASSIS, ACCELERATION X-ASSIS, ACCELERATION Y-ASSIS, ACCELERATION Z-ASSIS
2023-01-26 15:26:21.632105,YES, 1006.1201171875, 33.811405181884766, 33.99791717529297, 55.991, 33.58493423461914, (0. 0. 0. 0), 358.11809996265777, 2.029606720125156, 117.8304347305847, 0.03297264501452446, 0.03399096056818962, 0.9672328233718872
2023-01-26 15:26:36.153243,YES, 1006.1376953125, 33.606361389160156, 33.84166717529297, 51.608, 34.677974700927734, (5. 4. 2. 13), 6.902235286038515, 9.434275630708274, 115.50333463884799, 0.04388270899653435, 0.059969767928123474, 0.981610894203186
2023-01-26 15:26:41.667677,YES, 1006.160400390625, 33.68092346191406, 33.89583206176758, 52.582, 34.76018142700195, (5. 4. 2. 12), 6.451198621554846, 10.248493943929033, 115.88952719489885, 0.009697836823761463, 0.035933300852775574, 0.9691823720932007
2023-01-26 15:26:49.444877,NO, 1006.125, 33.83004379272461, 33.95000076293945, 52.095, 34.50138473510742, (5. 4. 2. 12), 5.12647489429441, 11.231043976792046, 116.08861354882639, 0.008485606871545315, 0.037875641137361526, 0.9677202105522156
2023-01-26 15:27:07.976526,YES, 1006.14013671875, 33.94188690185547, 33.962501525878906, 51.608, 34.73278045654297, (6. 4. 2. 13), 300.04892980556184, 194.0031805255121, 293.29594226373774, 0.0026669050566852093, 0.025736013427376747, 0.9506614208221436
2023-01-26 15:27:26.822162,YES, 1006.114501953125, 33.811405181884766, 33.89583206176758, 50.634, 34.772361755371094, (5. 3. 2. 12), 296.18170401825734, 199.83536977475927, 289.3109708453314, 0.01648632250726223, 0.03544771298766136, 0.9691823720932007
2023-01-26 15:27:37.246068,YES, 1006.134033203125, 33.71820068359375, 33.820831298828125, 50.147, 34.72669219970703, (5. 3. 2. 12), 291.8502780843912, 205.1426726466693, 285.55629974535947, 0.012122295796871185, 0.03204862028360367, 0.9684512615203857
2023-01-26 15:27:43.867325,YES, 1006.146484375, 33.699562072753906, 33.797916412353516, 50.634, 34.94590759277344, (5. 3. 2. 12), 288.13921091208067, 211.90501071746715, 279.39611115178997, 0.011879850178956985, 0.029377900063991547, 0.9706445932388306
2023-01-26 15:27:52.632898,YES, 1006.11279296875, 33.699562072753906, 33.772918701171875, 49.173, 34.57749938964844, (5. 3. 2. 12), 285.2193460230352, 219.26243584989152, 272.7574404861044, -0.0007405069191008806, 0.03496213257312775, 0.9669890999794006
2023-01-26 15:28:03.884903,NO, 1006.163818359375, 33.83004379272461, 33.90208435058594, 49.173, 34.888057708740234, (5. 3. 2. 12), 281.4593063943757, 227.2949022383666, 265.2351687380617, 0.01284963358193636, 0.03253420814871788, 0.9665017127990723
2023-01-26 15:28:15.140002,NO, 1006.10400390625, 33.86732482910156, 33.95000076293945, 49.66, 34.47398376464844, (5. 4. 2. 12), 279.3887482078647, 254.6060488422554, 237.98563727067562, 0.006788485683500767, 0.03326258063316345, 0.9628462195396423
2023-01-26 15:28:26.389078,NO, 1006.110595703125, 33.7554817199707, 33.95000076293945, 49.66, 34.37046432495117, (5. 3. 2. 12), 280.57715331212273, 290.1614045290788, 203.2132125080324, 0.012364741414785385, 0.03326258063316345, 0.9740563035011292
2023-01-26 15:28:38.467929,YES, 1006.1123046875, 33.699562072753906, 33.993751525878906, 47.225, 34.6292610168457, (5. 3. 2. 12), 282.57871292763826, 306.1655861884563, 187.83528747855883, 0.004848918411880732, 0.03350537270307541, 0.9677202105522156
2023-01-26 15:28:50.547710,NO, 1006.098388671875, 33.83004379272461, 33.96875, 48.686, 34.139068603515625, (5. 3. 2. 12), 284.74752338535995, 322.41693190332904, 172.44020137142448, 0.009697836823761463, 0.032291412353515625, 0.9677202105522156
2023-01-26 15:29:02.462932,NO, 1006.078125, 33.606361389160156, 33.91041564941406, 48.686, 34.28216552734375, (5. 3. 2. 12), 286.88589852014, 328.55242936304893, 166.24685903962373, 0.011394958011806011, 0.03399096056818962, 0.9655268788337708
2023-01-26 15:29:17.360298,YES, 1006.13037109375, 33.4945182800293, 33.77916717529297, 48.199, 34.34305953979492, (5. 3. 2. 12), 288.7556149941068, 331.8639799877852, 163.5684686584949, 0.012122295796871185, 0.033019788563251495, 0.9699134826660156
2023-01-26 15:29:22.894747,NO, 1006.247802734375, 33.4945182800293, 33.764583587646484, 48.686, 34.416133880615234, (5. 3. 2. 12), 290.94966983100085, 337.6576913663431, 158.49606965251996, 0.010667620226740837, 0.032291412353515625, 0.9679639339447021
2023-01-26 15:29:30.671694,NO, 1006.068603515625, 33.5690803527832, 33.704166412353516, 47.712, 34.18473815917969, (5. 3. 2. 12), 293.5311261674288, 341.4207738442779, 154.5609927660005, 0.011152512393891811, 0.03617609292268753, 0.959190845489502
2023-01-26 15:29:49.204910,NO, 1005.92626953125, 33.47587585449219, 33.72291564941406, 48.199, 34.51051712036133, (5. 4. 2. 12), 297.38465059525834, 340.77693972254497, 154.07294842904642, 0.010425174608826637, 0.030349070206284523, 0.9740563035011292
2023-01-26 15:30:08.065909,YES, 1006.14404296875, 33.41995620727539, 33.695831298828125, 47.712, 34.45875930786133, (5. 4. 2. 12), 300.2997685028306, 337.3423859285932, 158.28203884468846, -0.002221520757302642, 0.03399096056818962, 0.9721066951751709
